sep=;
Story Title;Estimate;Vote Started;Voting Duration;Avg Voting Time;Fastest;Slowest;
Testing manual:;Skipped;11/16/2021 7:35:50 PM;00:00:29;00:00:06;desiree;Lina Huertas;
Testeo de Funcionalidades de la página Reserva con SeleniumDriver;5;11/16/2021 7:35:27 PM;00:00:17;00:00:07;sergio garcia;Lina Huertas;
Testeo de APIs con Postman;5;11/16/2021 7:35:10 PM;00:00:11;00:00:04;Juan David Rojas Cañizales;Lina Huertas;
Crear tablas en Mysql en instancia EC2;5;11/16/2021 7:34:51 PM;00:00:14;00:00:08;Juan David Rojas Cañizales;desiree;
Despliegue del Front End en servidor Web en AWS;13;11/16/2021 7:34:28 PM;00:00:20;00:00:13;sergio garcia;Arias80RP;
Autenticación con JWT para crear booking en API "bookings";13;11/16/2021 7:34:10 PM;00:00:16;00:00:07;sergio garcia;desiree;
Crear API para “bookings”;8;11/16/2021 7:33:54 PM;00:00:11;00:00:04;sergio garcia;Arias80RP;
Crear script de creación de la tabla “bookings”;1;11/16/2021 7:33:22 PM;00:00:22;00:00:11;Arias80RP;desiree;
Dar funcionalidad al botón de reserva en “página de detalle producto”;13;11/16/2021 7:33:00 PM;00:00:20;00:00:09;Juan David Rojas Cañizales;sergio garcia;
Crear página de reservas.;13;11/16/2021 7:32:40 PM;00:00:14;00:00:06;Lina Huertas;sergio garcia;
Implementar método para filtrar por fecha de retiro y devolución en API "productos".;13;11/16/2021 7:32:14 PM;00:00:22;00:00:11;Juan David Rojas Cañizales;Lina Huertas;
Implementar método para filtrar por ciudad en API "productos";21;11/16/2021 7:31:42 PM;00:00:19;00:00:10;sergio garcia;desiree;
Implementar búsqueda por fecha desde el Front End;21;11/16/2021 7:30:51 PM;00:00:44;00:00:16;sergio garcia;Arias80RP;
Conectar botón de “Cerrar Sesión” con API “usuarios”;3;11/16/2021 7:29:16 PM;00:00:16;00:00:11;sergio garcia;desiree;
Agregar autenticación con Spring Security a la API “usuarios”;13;11/16/2021 7:28:50 PM;00:00:22;00:00:06;sergio garcia;desiree;
Conectar formulario de login con API “usuarios”:;3;11/16/2021 7:28:03 PM;00:00:36;00:00:15;Lina Huertas;desiree;
Crear API users;5;11/16/2021 7:27:34 PM;00:00:26;00:00:11;Lina Huertas;Arias80RP;
Crear script con los datos iniciales de la tabla “roles” y "users".;1;11/16/2021 7:26:52 PM;00:00:39;00:00:30;Juan David Rojas Cañizales;desiree;
Crear script de creación de la tabla “roles” y "users";1;11/16/2021 7:22:56 PM;00:03:43;00:01:26;Juan David Rojas Cañizales;desiree;
